# P[Pa]			Bo[m3/sm3]	Visc(Pa.s)
101325.0000           1.00000        .00014
10000000.00000        1.23331        .00015674
12500000.00000        1.21987        .00016570
15000000.00000        1.20802        .00017445
20000000.00000        1.18791        .00019143
25000000.00000        1.17137        .00020779
30000000.00000        1.15742        .00022361
33200000.38103        1.14946        .00023359
35000000.00000        1.14543        .00023894
40000000.00000        1.13498        .00025383
50000000.00000        1.11753        .00028237
60000000.00000        1.10346        .00030941
70000000.00000        1.09180        .00033506
80000000.00000        1.08194        .00035945
90000000.00000        1.07347        .00038266
95000000.00000        1.06966        .00039384
100000000.00000       1.06610        .00040476
110000000.00000       1.05961        .00042584
112500000.00000       1.05811        .00043096
115000000.00000       1.05665        .00043602
117500000.00000       1.05523        .00044102
120000000.00000       1.05385        .00044596 
# Bo(P_BHP) = 1.2226  
